Time_index;Load;Load_alternative_scenario_1;Load_alternative_scenario_2
83;50316.456159;25158.2280795;75474.6842385
84;50423.707184;25211.853592;75635.560776
85;50207.025268;25103.512634;75310.537902
86;50237.949898;25118.974949;75356.924847
87;50536.20586;25268.10293;75804.30879
88;50914.418338;25457.209169;76371.627507
89;51013.756275;25506.8781375;76520.6344125
90;50253.647494;25126.823747;75380.471241
91;48479.333675;24239.6668375;72719.0005125
92;46760.367006;23380.183503;70140.550509
93;45139.43537;22569.717685;67709.153055
94;43235.931589;21617.9657945;64853.8973835
95;41211.695785;20605.8478925;61817.5436775
96;39649.031559;19824.5157795;59473.5473385
97;38616.774328;19308.387164;57925.161492
98;38101.865532;19050.932766;57152.798298
99;37923.228351;18961.6141755;56884.8425265
100;38229.780147;19114.8900735;57344.6702205
101;39574.608931;19787.3044655;59361.9133965
102;42712.322493;21356.1612465;64068.4837395
103;46577.702025;23288.8510125;69866.5530375
104;48769.128711;24384.5643555;73153.6930665
105;49770.161886;24885.080943;74655.242829
106;50834.39929;25417.199645;76251.598935
107;51630.085703;25815.0428515;77445.1285545
108;51671.525663;25835.7628315;77507.2884945
109;51386.243306;25693.121653;77079.364959
110;51314.333874;25657.166937;76971.500811
111;51497.722592;25748.861296;77246.583888
112;51869.233257;25934.6166285;77803.8498855
113;51835.448684;25917.724342;77753.173026
114;50943.85076;25471.92538;76415.77614
115;49113.66726;24556.83363;73670.50089
116;47206.62579;23603.312895;70809.938685
117;45413.502701;22706.7513505;68120.2540515
118;43438.178436;21719.089218;65157.267654
119;41408.159088;20704.079544;62112.238632
120;39826.41502;19913.20751;59739.62253
121;37787.771492;18893.885746;56681.657238
122;37250.128378;18625.064189;55875.192567
123;36983.00858;18491.50429;55474.51287
124;36937.165134;18468.582567;55405.747701
125;37179.226484;18589.613242;55768.839726
126;38329.814369;19164.9071845;57494.7215535
127;40236.930147;20118.4650735;60355.3952205
128;41907.127395;20953.5636975;62860.6910925
129;43477.026183;21738.5130915;65215.5392745
130;45116.572663;22558.2863315;67674.8589945
131;46177.076385;23088.5381925;69265.6145775
132;46411.157832;23205.578916;69616.736748
133;46265.879971;23132.9399855;69398.8199565
134;46231.305427;23115.6527135;69346.9581405
135;46650.291641;23325.1458205;69975.4374615
136;47276.759373;23638.3796865;70915.1390595
137;47726.788636;23863.394318;71590.182954
138;47244.661867;23622.3309335;70866.9928005
139;45712.460458;22856.230229;68568.690687
140;44025.166419;22012.5832095;66037.7496285
141;42509.246326;21254.623163;63763.869489
142;40986.156985;20493.0784925;61479.2354775
143;39483.889977;19741.9449885;59225.8349655
144;38319.183466;19159.591733;57478.775199
145;37894.610596;18947.305298;56841.915894
146;37309.054556;18654.527278;55963.581834
147;36945.731239;18472.8656195;55418.5968585
148;36856.918086;18428.459043;55285.377129
149;37086.997057;18543.4985285;55630.4955855
150;37981.354718;18990.677359;56972.032077
