Time_index;Load;Load_alternative_scenario_1_low;Load_alternative_scenario_2_high;Load_alternative_scenario_2_Very_high
38;81716.44215;69458.97583;93973.90847;106231.3748
39;78782.81337;66965.39136;90600.23537;102417.6574
40;79782.44466;67815.07796;91749.81136;103717.1781
41;83470.46236;70949.893;95991.03171;108511.6011
42;85838.5319;72962.75212;98714.31169;111590.0915
43;85155.60683;72382.26581;97928.94786;110702.2889
44;82298.65288;69953.85495;94643.45081;106988.2487
45;78920.65167;67082.55392;90758.74942;102596.8472
46;81400.13651;69190.11604;93610.15699;105820.1775
47;75442.79588;64126.37649;86759.21526;98075.63464
48;69784.86762;59317.13748;80252.59777;90720.32791
49;67730.59945;57571.00953;77890.18937;88049.77928
50;64897.18184;55162.60456;74631.75911;84366.33639
51;60948.39756;51806.13793;70090.6572;79232.91683
52;56644.17787;48147.55119;65140.80455;73637.43124
53;52298.34576;44453.59389;60143.09762;67987.84948
54;53410.59727;45399.00768;61422.18686;69433.77645
55;59025.46705;50171.64699;67879.28711;76733.10716
56;66190.0786;56261.56681;76118.5904;86047.10219
57;72034.77431;61229.55817;82839.99046;93645.20661
58;76476.89482;65005.3606;87948.42904;99419.96327
59;79093.1736;67229.19756;90957.14964;102821.1257
60;82685.80885;70282.93752;95088.68017;107491.5515
61;84167.17042;71542.09486;96792.24599;109417.3216
62;82331.01894;69981.3661;94680.67178;107030.3246
63;79247.77675;67360.61024;91134.94326;103022.1098
64;80045.75287;68038.88994;92052.6158;104059.4787
65;83646.48739;71099.51428;96193.4605;108740.4336
66;86106.03187;73190.12709;99021.93665;111937.8414
67;85622.31814;72778.97042;98465.66587;111309.0136
68;82962.36755;70518.01242;95406.72268;107851.0778
69;79651.35672;67703.65322;91599.06023;103546.7637
70;82038.03303;69732.32808;94343.73798;106649.4429
71;75837.5333;64461.90331;87213.1633;98588.79329
72;69848.17057;59370.94498;80325.39615;90802.62173
73;68568.89667;58283.56217;78854.23117;89139.56567
74;65838.29246;55962.54859;75714.03633;85589.7802
75;61786.2847;52518.342;71054.22741;80322.17011
76;57484.30618;48861.66025;66106.95211;74729.59803
77;53162.57368;45188.18762;61136.95973;69111.34578
78;54214.59059;46082.402;62346.77917;70478.96776
79;59733.13148;50773.16176;68693.1012;77653.07092
80;66554.39743;56571.23782;76537.55704;86520.71666
81;72173.57278;61347.53686;82999.6087;93825.64461
82;76882.83144;65350.40673;88415.25616;99947.68088
83;79705.12828;67749.35904;91660.89753;103616.6668
84;83499.93866;70974.94786;96024.92946;108549.9203
85;85063.65337;72304.10536;97823.20137;110582.7494
86;83108.22691;70641.99287;95574.46094;108040.695
87;79867.43334;67887.31834;91847.54834;103827.6633
88;80440.33083;68374.28121;92506.38046;104572.4301
89;83938.71101;71347.90435;96529.51766;109120.3243
90;86177.15178;73250.57901;99103.72455;112030.2973
91;85075.58531;72314.24751;97836.92311;110598.2609
92;81695.09619;69440.83176;93949.36062;106203.625
93;77896.5773;66212.09071;89581.0639;101265.5505
94;80318.85256;68271.02468;92366.68045;104414.5083
95;74615.09062;63422.82703;85807.35422;96999.61781
96;69230.41485;58845.85262;79614.97708;89999.53931
97;67307.4674;57211.34729;77403.58751;87499.70762
98;64497.76661;54823.10162;74172.4316;83847.09659
99;60554.62696;51471.43291;69637.821;78721.01504
100;56244.6899;47807.98642;64681.39339;73118.09687
101;51857.21078;44078.62916;59635.7924;67414.37401
102;52668.5089;44768.23257;60568.78524;68469.06157
103;57579.59943;48942.65952;66216.53934;74853.47926
104;63941.40458;54350.1939;73532.61527;83123.82596
105;69525.36882;59096.56349;79954.17414;90382.97946
106;74045.14528;62938.37349;85151.91707;96258.68886
107;76819.93746;65296.94684;88342.92808;99865.9187
108;80540.63022;68459.53569;92621.72476;104702.8193
109;82186.6125;69858.62063;94514.60438;106842.5963
110;80509.87757;68433.39593;92586.35921;104662.8408
111;77579.52069;65942.59259;89216.44879;100853.3769
112;78527.29526;66748.20097;90306.38955;102085.4838
113;82199.38621;69869.47828;94529.29414;106859.2021
114;84690.66017;71987.06114;97394.25919;110097.8582
115;84172.79068;71546.87208;96798.70928;109424.6279
116;81439.27639;69223.38493;93655.16785;105871.0593
117;78106.20536;66390.27455;89822.13616;101538.067
118;80668.4188;68568.15598;92768.68162;104868.9444
119;74852.79925;63624.87936;86080.71914;97308.63902
120;69256.32223;58867.87389;79644.77056;90033.2189
121;59025.48775;50171.66458;67879.31091;76733.13407
