Gas-z1,Gas-z2,Gas turbine-z1,Gas turbine-z2,Wind-z1,Wind-z2,Solar-z1,Solar-z2,Nuclear-z1,Nuclear-z2,Coal-z1,Coal-z2,Battery-z1,Index,Investment_Cost,EV_SystemCost,CVaR_SystemCost,CVaR_OpCost,EV_OpCost,Expected_Power_Price,Cost_by_zone_baseZone1,Price_by_zone_baseZone1,Cost_by_zone_baseZone2,Price_by_zone_baseZone2,Expected_emissions,CO2_by_zone_baseZone1,CO2_by_zone_baseZone2
5276.6569663681,1.0e-5,2935.5645081040175,4685.836527350214,19024.63629718975,1.0e-5,4397.091791532615,1.0e-5,1.0e-5,17092.13911881263,1.0e-5,1.0e-5,3400.194233992121,Sample 22,4.0644765636512403e9,4.660223806238826e9,5.240297010859978e9,1.7558936518298888e9,5.957472425875852e8,12.1131637784079,1.9539688546003684e7,12.555399899516914,2.012734725939222e7,11.670927657298895,4.706977775042889e6,3.86927703167845e6,837700.743364428
617.7735727586452,1.0e-5,5085.331097952577,6654.716910918691,19577.93874719192,1.0e-5,5855.106207781443,1.0e-5,1362.534463962698,14351.047781294872,1.0e-5,2592.867932208143,2589.920876823799,Sample 23,4.087880750288757e9,4.650044706355187e9,5.145763354022616e9,1.5536012514012892e9,5.621639560664306e8,10.679887734257514,1.0989687256895818e7,11.962802399201856,2.6594958575078614e7,9.39697306931317,8.261496271172886e6,1.9461605485008843e6,6.315335722671994e6
3215.7730078586715,1.0e-5,3361.782974103795,7153.7831296842705,20824.526733312225,1.0e-5,8441.80582898235,1.0e-5,1.0e-5,15779.185337839333,1.0e-5,1.0e-5,3420.1213860085713,Sample 24,4.083579180175776e9,4.61890665223707e9,5.076144470805922e9,1.4498031091989973e9,5.3532747206129414e8,9.838859280004206,1.5252701343340317e7,10.20150554270112,2.039225546581887e7,9.476213017307291,4.607724764927646e6,3.1148719684246387e6,1.492852796502982e6
3052.6094237050493,1.0e-5,4336.099782604994,6335.536875799873,17307.86651241881,1.0e-5,2979.1747693356215,1.0e-5,2219.3374869061745,16272.284318867009,1.0e-5,1.0e-5,1512.8774048384678,Sample 25,4.076413134361552e9,4.63592679708554e9,5.062282621919406e9,1.412225312391719e9,5.595136627239884e8,9.843636022894353,1.6877423649379767e7,9.855768978155853,2.153703091936158e7,9.83150306763285,4.372009413295281e6,3.051832137391235e6,1.320177275904034e6
2145.0667373608844,1.0e-5,5726.974987362803,5395.364525880463,18896.144089528963,1.0e-5,7402.755249840542,1.0e-5,557.3853287960719,16675.10612494479,1.0e-5,411.37405770170767,2189.407202472921,Sample 26,4.1485931833601847e9,4.6388995556642065e9,5.024652407122106e9,1.2618120752198203e9,4.90306372304022e8,8.1645264568158,1.261098555037429e7,8.291382934047475,2.061432985271731e7,8.037669979584125,4.363403307482411e6,2.600499601819813e6,1.7629037056625898e6
7161.553578216961,1.0e-5,471.99811825334274,4880.986569720434,25339.19662619302,1.0e-5,8355.724305450969,1.0e-5,1.0e-5,14579.09341585478,1.0e-5,2091.2251926219515,1828.1471797945492,Sample 27,4.2413800905269985e9,4.697013447137419e9,5.097963124530967e9,1.2575327113975158e9,4.5563335661042e8,8.648586441419878,1.2840931380085588e7,8.68496622398656,1.7130365880896885e7,8.612206658853186,6.591121464378257e6,2.71251761897646e6,3.8786038454017956e6
4166.530597407031,1.0e-5,4215.953599098892,5387.686989736174,19346.27747066577,1.0e-5,7965.797688982994,1.0e-5,1.0e-5,15535.938194018674,1.0e-5,1471.3633358165628,1370.803634938033,Sample 28,4.0409855377114944e9,4.589329076149049e9,5.02676872098054e9,1.4232228281005363e9,5.483435384375545e8,10.215021790464188,1.533714785478407e7,10.324486259273261,2.1785277352143172e7,10.105557321655116,6.910629538170721e6,3.204318978734915e6,3.7063105594357955e6
4936.8450174179225,1.0e-5,2994.661239299723,6423.459542011127,21380.25867280022,1.0e-5,8360.670452756407,1.0e-5,1.0e-5,16419.040113132327,1.0e-5,183.95568759143075,745.4150213443205,Sample 29,4.1438112661001496e9,4.629705495607803e9,5.033113021046738e9,1.292709280385522e9,4.858942295076538e8,8.680742734320523,1.5349835455030214e7,9.128915336063853,1.727039934731152e7,8.232570132577193,4.2634075728967665e6,3.1673704820881938e6,1.0960370908085648e6
1237.970572458102,1.0e-5,7017.6675864042845,5837.980634294474,21344.35735815007,1.0e-5,9057.552360211626,1.0e-5,1.0e-5,15408.199207362679,1.0e-5,1245.9683407639395,949.482051709094,Sample 30,4.081736401208181e9,4.599966358155099e9,5.017201605021624e9,1.3527004506799686e9,5.182299569469184e8,9.465453329720651,1.2350675774923153e7,9.519050166771688,2.2421315761295702e7,9.41185649266961,6.202613085901426e6,2.630294191639963e6,3.572318894261443e6
2821.43774241606,1.0e-5,5610.858181044362,5397.5287993442125,19242.842187288334,1.0e-5,7426.817902552503,1.0e-5,544.973543863171,15991.593076414092,1.0e-5,1337.4567835510875,468.0782041790552,Sample 31,4.104378290859415e9,4.615887145128076e9,5.015352208349267e9,1.3104389807110448e9,5.1150885426866037e8,8.735867798739765,1.3424203864092398e7,8.843948595715187,2.134341386418124e7,8.627787001764336,5.959980396268991e6,2.7340039033383075e6,3.225976492930695e6
