Gas-z1,Gas-z2,Gas turbine-z1,Gas turbine-z2,Wind-z1,Wind-z2,Solar-z1,Solar-z2,Nuclear-z1,Nuclear-z2,Coal-z1,Coal-z2,Battery-z1,Index,Investment_Cost,EV_SystemCost,CVaR_SystemCost,CVaR_OpCost,EV_OpCost,Expected_Power_Price,Cost_by_zone_baseZone1,Price_by_zone_baseZone1,Cost_by_zone_baseZone2,Price_by_zone_baseZone2,Expected_emissions,CO2_by_zone_baseZone1,CO2_by_zone_baseZone2
1875.3117356994394,1.0e-5,8009.161261743571,6173.906092901873,38678.774504619236,1.0e-5,4981.212389333064,1.0e-5,1.0e-5,11764.361579322984,1.0e-5,1.0e-5,1607.082500004165,Sample 14,4.1115336886544247e9,4.760825163518662e9,5.344311742109343e9,1.8162646320455961e9,6.492914748642379e8,12.19765409224953,1.5674336471261535e7,12.172483425582863,2.626548892119631e7,12.222824758916198,6.743041768532877e6,3.039606051761763e6,3.703435716771105e6
13613.286077789298,1.0e-5,1.0e-5,1.0e-5,29870.899534159314,1.0e-5,22770.834985939076,1.0e-5,1.0e-5,11089.908064226904,1.0e-5,3601.858946393531,1.0e-5,Sample 15,4.580245469206988e9,4.959894623317138e9,5.325137508814972e9,1.1101349251058178e9,3.796491541101496e8,7.142083333333334,1.1273569329979073e7,7.125277777777779,1.3253652165583074e7,7.15888888888889,7.225202064453039e6,2.28046306887026e6,4.944738995582775e6
3148.5647258547037,1.0e-5,1.0e-5,5592.7249332334995,23753.210901870745,1.0e-5,14774.000835876828,1.0e-5,1.0e-5,10305.49870411121,1.0e-5,7262.984145089279,6848.625116987851,Sample 16,4.315808331335571e9,4.924065328596097e9,5.723125802653121e9,2.2063779453745747e9,6.082569972605257e8,14.382277388678858,9.410587407878915e6,19.32852878454105,2.8423414851082757e7,9.436025992816639,1.468244939954992e7,961113.6621691006,1.3721335737380844e7
2023.6961032929873,1.0e-5,1.0e-5,8158.142239676524,15406.844055185946,1.0e-5,3352.008836200163,1.0e-5,6191.866364540327,13620.019784752218,1.0e-5,3858.2821897694325,1.0e-5,Sample 17,4.407710099304379e9,4.997224344170192e9,5.736010157286484e9,2.0670858710983973e9,5.895142448658123e8,13.467569444444448,1.3938836818336578e7,20.963055555555567,2.3581704532333374e7,5.972083333333336,5.7962403580051195e6,591446.8073170151,5.204793550688106e6
2982.5882241907316,1.0e-5,1.0e-5,8493.705094485465,23311.508851439325,1.0e-5,13142.8226963512,1.0e-5,1767.5469651361066,12609.965803759002,1.0e-5,1827.5501889777997,4779.236899891826,Sample 18,4.30713328115861e9,4.738003905945072e9,5.174812096308483e9,1.3044870055132844e9,4.308706247864616e8,9.102618720961985,8.664843973875284e6,10.54252637912203,1.9084994199365016e7,7.662711062801933,5.598807817710149e6,1.4155860019900964e6,4.1832218157200385e6
22.46052751061623,1.0e-5,7912.923072488981,1134.6431823725313,20316.086880749473,1.0e-5,8041.636316808071,1.0e-5,1.0e-5,15632.820130099748,1.0e-5,4699.093577400815,3467.0757001515317,Sample 19,4.321322270128692e9,4.776666665160656e9,5.14164094119842e9,1.1852929471074924e9,4.5534439503196406e8,9.87451500714136,7.764301145646147e6,10.759746720016809,2.265630898236859e7,8.989283294265915,7.863274043157341e6,1.7673604955893543e6,6.095913547567973e6
1.0e-5,1.0e-5,4847.65144831685,6108.199733952277,22649.47214562582,1.0e-5,6818.137243437991,1.0e-5,1.0e-5,14401.215098724822,3078.187577171201,2400.3113403680745,1402.3449595456984,Sample 20,4.2449710165943522e9,4.717992666177365e9,5.057170815651238e9,1.1513779485307598e9,4.730216495830133e8,7.923230582020581,7.04280761132839e6,8.000620704893926,2.489128480790054e7,7.845840459147235,1.0667523740836896e7,4.662889891462332e6,6.004633849374558e6
2372.7901432708336,1.0e-5,13926.668346617813,1.0e-5,25548.072083789746,1.0e-5,11573.775817410293,1.0e-5,1.0e-5,15204.289410020743,1.0e-5,1.0e-5,1.0e-5,Sample 21,4.2369425201029015e9,4.68452779561091e9,5.047543206963632e9,1.1736160982134511e9,4.4758527550800884e8,7.6506944444444445,1.9011566458900068e7,7.654583333333334,1.0678665554807905e7,7.646805555555557,3.993501300401964e6,3.9935012771007135e6,0.02330124500000001
8893.116258815382,1.0e-5,1.0e-5,5056.246880589657,18231.888618995596,1.0e-5,7459.603620736961,1.0e-5,1.0e-5,16298.555402327966,1.0e-5,640.955342849358,971.3632604779847,Sample 22,4.0479767881070175e9,4.612195063798857e9,5.098513029669436e9,1.5368542074329984e9,5.642182756918397e8,10.936481495505145,1.9726647640748415e7,11.09273957298887,1.8590652264328405e7,10.780223418021425,5.641482412986014e6,4.0493946694220155e6,1.5920877435640097e6
2255.440749144829,1.0e-5,4113.735000299987,8324.16553883431,23284.10720985861,1.0e-5,13461.717834986142,1.0e-5,1.0e-5,11596.84009145403,1.0e-5,1693.1988250402435,3692.3130051036546,Sample 23,3.9321207716914096e9,4.5699991349033375e9,5.112614281940274e9,1.7231086572858016e9,6.378783632119284e8,11.585631602268432,1.1871588349973107e7,11.587327660659533,3.022720540286367e7,11.583935543877343,9.460004258851826e6,2.375088313554738e6,7.084915945297079e6
3176.9199504125704,1.0e-5,5345.799365148438,4690.378297215847,18663.42903246994,1.0e-5,11298.311701253642,1.0e-5,1.0e-5,14905.910799633606,1.0e-5,2995.185000721593,1.0e-5,Sample 24,4.096375322682093e9,4.621031085279009e9,5.05449166001184e9,1.3915769120625784e9,5.2465576259691596e8,9.564236111111109,1.1353873693668203e7,10.094999999999999,2.4241269913026895e7,9.033472222222223,8.43747126884169e6,2.3044121090376023e6,6.133059159804095e6
2593.964685787201,1.0e-5,4534.239154277418,6850.230134675552,18866.103810396315,1.0e-5,8282.135920430137,1.0e-5,1655.5445352680804,13608.185665428906,1.0e-5,2060.0566931837097,633.6660163936809,Sample 25,4.009226473171175e9,4.576506727854946e9,5.022292877443142e9,1.4588525538601618e9,5.672802546837709e8,10.246766363327032,1.1348535346500458e7,10.247207447132952,2.7231178868094213e7,10.246325279521106,8.10448248517364e6,2.1587662818425633e6,5.945716203331087e6
5495.878794476471,1.0e-5,1803.5103305017938,6706.4304782591325,17566.00791907663,1.0e-5,11913.46794942748,1.0e-5,1.0e-5,14606.598135930326,1.0e-5,2223.2823249911457,1996.441983409967,Sample 26,4.0801895738587365e9,4.62636335295427e9,5.081445264832014e9,1.4563376028510215e9,5.461737790955342e8,9.629856788048732,1.4039479182335684e7,10.245486643688302,2.3083883814568534e7,9.01422693240916,8.15294815195186e6,2.867691051298424e6,5.285257100653426e6
4784.290108618067,1.0e-5,2876.6444723494346,5733.32392408069,15904.554892114109,1.0e-5,7315.646882543341,1.0e-5,1113.306510096638,14590.559477380353,1.0e-5,2344.60964983685,2669.3193983639167,Sample 27,4.0348272985983806e9,4.619818176162244e9,5.0598655164592e9,1.4650855581577768e9,5.849908775638635e8,9.581891884394043,1.44209111148479e7,9.643172809073725,2.5906263134293973e7,9.520610959714345,8.83962477173259e6,2.856872077257943e6,5.982752694474632e6
5426.784653703194,1.0e-5,3208.9142729981018,7045.6508581055,18317.195555187936,1.0e-5,11385.69821514097,1.0e-5,1.0e-5,15875.106892310914,1.0e-5,1.0e-5,450.85581629811645,Sample 28,4.049099039379051e9,4.590974123689123e9,5.028822627239147e9,1.4175720914101195e9,5.418750843100718e8,9.57465157162361,1.7854581259579863e7,9.943150166981724,1.910668431998421e7,9.206152976265495,4.6977142284402065e6,3.5933583931296538e6,1.1043558353105483e6
5613.733388424846,1.0e-5,3925.6195836586303,5777.9391630623695,19553.46847553763,1.0e-5,10818.25496079118,1.0e-5,1.0e-5,14470.721629247526,1.0e-5,1937.242407957003,1.0e-5,Sample 29,4.038086240930271e9,4.593854796539757e9,5.025294141952765e9,1.4186472464355032e9,5.557685556094861e8,9.495347222222229,1.6166109662230585e7,9.543888888888894,2.173276095815276e7,9.446805555555558,8.052152779149092e6,3.3198452145142285e6,4.732307564634856e6
