Time_index;Nuclear;Coal;Gas;Onshore_Wind;Offshore_Wind_Fixed;Offshore_Wind_Float;Solar;NS_Fixed_Wind;NS_Floating_Wind;Storage
95;1;1;1;0.66979014;0.728006633;0.728006633;0;0.189087268;0.189087268;1
96;1;1;1;0.703005557;0.749178446;0.749178446;0;0.188975112;0.188975112;1
97;1;1;1;0.744001061;0.749191587;0.749191587;0;0.19869088;0.19869088;1
98;1;1;1;0.780839309;0.731726585;0.731726585;0;0.219719771;0.219719771;1
99;1;1;1;0.806981381;0.754439106;0.754439106;0;0.236733196;0.236733196;1
100;1;1;1;0.807819478;0.777715067;0.777715067;0;0.251991758;0.251991758;1
101;1;1;1;0.800512987;0.792987396;0.792987396;0;0.262644167;0.262644167;1
102;1;1;1;0.771455012;0.823589823;0.823589823;0;0.267247228;0.267247228;1
103;1;1;1;0.743548626;0.803597835;0.803597835;0;0.265138402;0.265138402;1
104;1;1;1;0.713106154;0.757410882;0.757410882;0;0.259983061;0.259983061;1
105;1;1;1;0.667364121;0.706779776;0.706779776;0.008749548;0.25186145;0.25186145;1
106;1;1;1;0.618771001;0.632647994;0.632647994;0.087616437;0.239148694;0.239148694;1
107;1;1;1;0.49430412;0.546470402;0.546470402;0.152845906;0.239101002;0.239101002;1
108;1;1;1;0.458280384;0.506090469;0.506090469;0.16413438;0.231304035;0.231304035;1
109;1;1;1;0.408253605;0.509348565;0.509348565;0.164456432;0.235677918;0.235677918;1
110;1;1;1;0.358152679;0.52169455;0.52169455;0.145481331;0.252506044;0.252506044;1
111;1;1;1;0.304186175;0.507409027;0.507409027;0.094971145;0.264148429;0.264148429;1
112;1;1;1;0.276949085;0.498388569;0.498388569;0.037237263;0.262399047;0.262399047;1
113;1;1;1;0.268769348;0.4986583;0.4986583;0.00241863;0.266345496;0.266345496;1
114;1;1;1;0.263531653;0.509998138;0.509998138;0;0.274455067;0.274455067;1
115;1;1;1;0.260460853;0.532410227;0.532410227;0;0.283988341;0.283988341;1
116;1;1;1;0.253440264;0.527370446;0.527370446;0;0.271751927;0.271751927;1
117;1;1;1;0.263097931;0.50233994;0.50233994;0;0.257688905;0.257688905;1
118;1;1;1;0.271487006;0.473998714;0.473998714;0;0.259161436;0.259161436;1
119;1;1;1;0.268606345;0.473910326;0.473910326;0;0.260911253;0.260911253;1
120;1;1;1;0.265834834;0.449858181;0.449858181;0;0.247435967;0.247435967;1
121;1;1;1;0.266849017;0.440127774;0.440127774;0;0.234751646;0.234751646;1
122;1;1;1;0.269414833;0.424204949;0.424204949;0;0.222343657;0.222343657;1
123;1;1;1;0.260880453;0.365808427;0.365808427;0;0.213830425;0.213830425;1
124;1;1;1;0.245199532;0.290623853;0.290623853;0;0.199370089;0.199370089;1
125;1;1;1;0.224187901;0.212310939;0.212310939;0;0.198280528;0.198280528;1
126;1;1;1;0.198579759;0.159658953;0.159658953;0;0.201429938;0.201429938;1
127;1;1;1;0.177324554;0.125099768;0.125099768;0;0.207018652;0.207018652;1
128;1;1;1;0.159575933;0.117994306;0.117994306;0;0.223354738;0.223354738;1
129;1;1;1;0.144623551;0.132165421;0.132165421;0.007291693;0.268337697;0.268337697;1
130;1;1;1;0.123247248;0.183890793;0.183890793;0.090276286;0.322178307;0.322178307;1
131;1;1;1;0.088702186;0.200499947;0.200499947;0.180400486;0.376705003;0.376705003;1
132;1;1;1;0.081410866;0.221848188;0.221848188;0.211902713;0.391227948;0.391227948;1
133;1;1;1;0.067728619;0.218149313;0.218149313;0.24039254;0.408293641;0.408293641;1
134;1;1;1;0.056306662;0.227358345;0.227358345;0.199274204;0.450517277;0.450517277;1
135;1;1;1;0.054085044;0.279310651;0.279310651;0.140858683;0.499465877;0.499465877;1
136;1;1;1;0.06474152;0.379632061;0.379632061;0.060211132;0.566675781;0.566675781;1
