Time_index;Load;Load_alternative_scenario_1_low;Load_alternative_scenario_2_high;Load_alternative_scenario_2_Very_high
221;119335.6071;101435.2661;137235.9482;155136.2893
222;123551.6696;105018.9192;142084.4201;160617.1705
223;130073.5746;110562.5385;149584.6108;169095.647
224;141351.8716;120149.0909;162554.6524;183757.4331
225;150588.4432;128000.1767;173176.7096;195764.9761
226;153437.4406;130421.8245;176453.0566;199468.6727
227;153420.4606;130407.3915;176433.5297;199446.5988
228;153553.3879;130520.3797;176586.3961;199619.4042
229;154306.2469;131160.3099;177452.1839;200598.121
230;153336.7862;130336.2683;176337.3041;199337.8221
231;152516.1528;129638.7299;175393.5757;198270.9987
232;151767.0699;129002.0094;174532.1303;197297.1908
233;152567.5811;129682.4439;175452.7182;198337.8554
234;153162.0607;130187.7516;176136.3698;199110.6789
235;155545.0832;132213.3208;178876.8457;202208.6082
236;154010.9822;130909.3349;177112.6296;200214.2769
237;150005.0631;127504.3036;172505.8225;195006.582
238;144273.5096;122632.4832;165914.5361;187555.5625
239;139704.0375;118748.4319;160659.6431;181615.2488
240;134689.5738;114486.1377;154893.0098;175096.4459
241;125669.8933;106819.4093;144520.3772;163370.8612
242;120906.1128;102770.1959;139042.0297;157177.9466
243;118065.8572;100355.9786;135775.7358;153485.6143
244;117082.7114;99520.30471;134645.1181;152207.5249
245;118647.0033;100849.9528;136444.0538;154241.1043
246;122938.7044;104497.8988;141379.5101;159820.3158
247;129558.7027;110124.8973;148992.5081;168426.3135
248;140677.869;119576.1887;161779.5494;182881.2297
249;149688.001;127234.8008;172141.2011;194594.4012
250;152503.3694;129627.864;175378.8748;198254.3802
251;152536.6508;129656.1532;175417.1484;198297.6461
252;152737.1027;129826.5373;175647.6681;198558.2335
253;153439.473;130423.5521;176455.394;199471.3149
254;152482.7375;129610.3269;175355.1481;198227.5588
255;151620.855;128877.7268;174363.9833;197107.1116
256;150881.3646;128249.1599;173513.5693;196145.774
257;151581.1202;128843.9522;174318.2882;197055.4563
258;152230.6229;129396.0295;175065.2163;197899.8098
259;154726.7033;131517.6978;177935.7088;201144.7143
260;153302.5364;130307.1559;176297.9168;199293.2973
261;149336.4531;126935.9852;171736.9211;194137.3891
262;143512.1524;121985.3295;165038.9752;186565.7981
263;138746.03;117934.1255;159557.9345;180369.8391
264;133666.7158;113616.7085;153716.7232;173766.7306
265;122357.9076;104004.2215;140711.5937;159065.2799
266;117364.6338;99759.93873;134969.3289;152574.0239
267;114411.517;97249.78945;131573.2446;148734.9721
268;113430.5983;96416.00859;130445.1881;147459.7778
269;115073.5376;97812.507;132334.5683;149595.5989
270;119583.5685;101646.0332;137521.1038;155458.6391
271;126888.5865;107855.2985;145921.8745;164955.1625
272;138846.4255;118019.4617;159673.3893;180500.3531
273;148482.66;126210.261;170755.059;193027.4581
274;151642.5837;128896.1961;174388.9712;197135.3588
275;151887.3366;129104.2361;174670.4371;197453.5376
276;152299.7674;129454.8023;175144.7325;197989.6976
277;152867.713;129937.556;175797.8699;198728.0269
278;151689.1193;128935.7514;174442.4871;197195.855
279;150625.1035;128031.338;173218.8691;195812.6346
280;149703.4154;127247.9031;172158.9277;194614.44
281;150185.6517;127657.804;172713.4995;195241.3472
282;150530.9019;127951.2666;173110.5372;195690.1725
